QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
263,Geriatric Medicine,1,A 75-year-old man on warfarin presents with a subdural haematoma after a fall. CT shows a crescent-shaped hyperdense collection. What is the priority management?,IV tranexamic acid,Reversal of anticoagulation (IV vitamin K and prothrombin complex concentrate),Observation with repeat CT in 6 hours,Oral vitamin K only,B,"An acute subdural haematoma in an anticoagulated patient is a neurosurgical emergency, and the priority is IMMEDIATE reversal of anticoagulation — IV vitamin K PLUS prothrombin complex concentrate (PCC/Beriplex), which restores clotting factors within minutes (far faster than FFP). This limits haematoma expansion while urgent neurosurgical assessment for evacuation is arranged.",Tranexamic acid is an antifibrinolytic adjunct and does not reverse warfarin's factor deficiency.,,Simple observation risks catastrophic haematoma expansion in an anticoagulated patient with an acute bleed.,Oral vitamin K alone works too slowly (hours) to control an acute intracranial bleed; PCC is needed for rapid reversal.
264,Geriatric Medicine,2,STOPP/START criteria are used to identify which issue in elderly patients?,Inappropriate prescribing and prescribing omissions,Surgical risk assessment,Nutritional deficiency,Cognitive decline trajectory,A,"The STOPP/START criteria are an explicit medication-review tool for older adults: STOPP flags potentially inappropriate prescriptions (drugs to STOP), and START flags evidence-based treatments that have been omitted (drugs to START). Applying them reduces adverse drug reactions, falls, hospitalisation and costs.",,"They address prescribing appropriateness, not surgical/anaesthetic risk (that is assessed by tools such as ASA grade).",They are not a nutritional-screening tool (e.g. MUST).,They do not track cognitive-decline trajectory; they optimise medications.
265,Geriatric Medicine,1,Sarcopenia in the elderly is defined as:,Weight loss >10% in 6 months,Progressive loss of skeletal muscle mass and strength,Bone mineral density T-score <-2.5,BMI <18.5 kg/m²,B,"Sarcopenia is the progressive, generalised loss of skeletal muscle MASS together with muscle STRENGTH and function that accompanies ageing. It increases the risk of falls, frailty, disability and death. Diagnosis centres on reduced muscle strength (e.g. grip strength/chair-stand), confirmed by low muscle quantity; the mainstays of treatment are resistance exercise and adequate protein intake.","Unintentional weight loss >10% is a marker of cachexia/malnutrition, not the specific definition of sarcopenia.",,"A T-score <−2.5 defines OSTEOPOROSIS (bone), not sarcopenia (muscle).","A low BMI (<18.5) indicates being underweight, which is not the same as loss of muscle mass and strength."
266,Acute Medicine,1,A patient presents with acute severe asthma. Which of the following defines life-threatening asthma?,PEFR 50-75% predicted,"SpO2 <92%, PEFR <33% predicted, silent chest, altered consciousness",PEFR 33-50% predicted with normal SpO2,Heart rate >110 bpm,B,"Life-threatening acute asthma is defined by any of: PEFR <33% predicted, SpO₂ <92% (or PaO₂ <8 kPa), a NORMAL PaCO₂ (a red flag in a breathless asthmatic), silent chest, cyanosis, feeble respiratory effort, exhaustion, arrhythmia or hypotension. Recognising these features mandates high-flow oxygen, back-to-back nebulised salbutamol and ipratropium, systemic steroids, IV magnesium and critical-care involvement.",PEFR 50–75% predicted is a MODERATE exacerbation.,,PEFR 33–50% predicted defines an ACUTE SEVERE (not life-threatening) attack.,"A heart rate >110 bpm is a feature of an acute SEVERE attack, not a life-threatening marker on its own."
267,Acute Medicine,2,"A 50-year-old man presents to A&E with acute upper GI bleeding. He is haemodynamically unstable (HR 120, BP 85/50). What is the Rockall score used for?",Predicting rebleeding and mortality after upper GI haemorrhage,Assessing severity of liver cirrhosis,Grading oesophageal varices,Determining anticoagulation safety,A,"The Rockall score risk-stratifies patients after upper-GI haemorrhage, predicting the risk of rebleeding and death. It combines pre-endoscopic variables (age, shock, comorbidity) with endoscopic findings (diagnosis and stigmata of recent haemorrhage). It is used after endoscopy; the Glasgow–Blatchford score is the pre-endoscopy tool that identifies very-low-risk patients suitable for outpatient management.",,"Cirrhosis severity is graded by the Child–Pugh or MELD scores, not Rockall.","Varices are graded endoscopically by size/appearance, not by the Rockall score.","Anticoagulation-related bleeding risk is assessed with tools such as HAS-BLED, not Rockall."
268,Acute Medicine,1,"A patient with suspected anaphylaxis has stridor, hypotension, and urticaria. What is the first-line drug and route?",IV chlorphenamine,IM adrenaline 0.5mg (1:1000),IV hydrocortisone 200mg,Nebulised salbutamol,B,"Anaphylaxis is a clinical diagnosis (airway/breathing/circulation compromise with skin changes), and the immediate life-saving treatment is intramuscular adrenaline 500 micrograms (0.5 mL of 1:1000) into the anterolateral thigh, repeated every 5 minutes as needed. Adjuncts include high-flow oxygen, IV fluids for hypotension, and — after adrenaline — antihistamines and steroids. IV adrenaline is reserved for expert/critical-care settings.",IV chlorphenamine is only an adjunct that helps with cutaneous symptoms; it does not treat airway or cardiovascular collapse and must not delay adrenaline.,,"IV hydrocortisone has a slow onset and is a second-line adjunct, not the first-line agent.",Nebulised salbutamol may help bronchospasm but does not address the airway oedema or hypotension of anaphylaxis.
269,Acute Medicine,1,The Surviving Sepsis Campaign recommends the 'hour-1 bundle'. Which interventions must be initiated within 1 hour?,"Blood cultures, IV antibiotics, lactate measurement, fluid resuscitation, vasopressors if needed","CT scan, central venous catheter, arterial line",Blood cultures and observation only,Oral antibiotics and oral fluids,A,"The Surviving Sepsis 'hour-1' bundle bundles the interventions shown to improve outcome: measure lactate (repeat if >2), take blood cultures BEFORE antibiotics, give broad-spectrum IV antibiotics, start rapid crystalloid (30 mL/kg) for hypotension or lactate ≥4 mmol/L, and add vasopressors if hypotension persists to keep MAP ≥65 mmHg. Prompt, parallel delivery of these steps reduces mortality.",,Imaging and invasive lines may follow but are not the time-critical first-hour priorities.,Cultures with 'observation only' omits the essential antibiotics and fluids.,Oral antibiotics/fluids are inadequate for sepsis — the intravenous route is required.
270,Acute Medicine,2,A patient with a GCS of 8 after a drug overdose is brought to A&E. Pinpoint pupils are noted. RR is 6/min. Which drug is most likely responsible and what is the antidote?,Benzodiazepine; flumazenil,Opioid; naloxone,Paracetamol; NAC,Tricyclic antidepressant; sodium bicarbonate,B,"The triad of pinpoint pupils (miosis), reduced conscious level and a low respiratory rate is classic opioid toxicity. Naloxone, a competitive opioid-receptor antagonist, is the specific antidote, given IV/IM/IN and titrated to restore adequate ventilation (not full alertness). Because naloxone is short-acting, repeated boluses or an infusion may be needed, especially with long-acting opioids such as methadone.",Benzodiazepine overdose causes sedation and respiratory depression but with NORMAL or dilated pupils; flumazenil is its antagonist but is used cautiously.,,"Paracetamol overdose does not cause miosis or early respiratory depression; NAC treats hepatotoxicity, guided by levels.","TCA overdose causes DILATED pupils, tachycardia, seizures and QRS widening; sodium bicarbonate treats the cardiotoxicity."
271,Acute Medicine,1,DKA diagnostic criteria include all of the following EXCEPT:,Blood glucose >11 mmol/L,Blood ketones >3 mmol/L or ketonuria 2+,Venous pH <7.3 or bicarbonate <15 mmol/L,Serum sodium >150 mmol/L,D,"The diagnostic triad for diabetic ketoacidosis is: hyperglycaemia (glucose >11 mmol/L, or known diabetes), ketosis (blood ketones >3 mmol/L or ketonuria ≥2+), and acidosis (venous pH <7.3 and/or bicarbonate <15 mmol/L). Serum sodium is NOT a diagnostic criterion — it is often low or spuriously altered by hyperglycaemia. Treatment is IV 0.9% saline, a fixed-rate insulin infusion and careful potassium replacement.",Hyperglycaemia (>11 mmol/L) IS a diagnostic criterion.,Ketonaemia/ketonuria IS a diagnostic criterion.,Acidosis (pH <7.3 or bicarbonate <15) IS a diagnostic criterion.,
272,Acute Medicine,1,A patient with an acute asthma attack has a PaCO2 of 6.0 kPa (elevated/normal). Why is this concerning?,It indicates hyperventilation,A normal or rising PaCO2 in acute asthma indicates tiring/near-fatal asthma,It is expected and reassuring,It indicates metabolic acidosis,B,"A breathless patient in acute asthma should be hyperventilating and hypocapnic; a NORMAL or rising PaCO₂ therefore signals that the patient is tiring and can no longer sustain the work of breathing. This is a marker of near-fatal asthma and demands urgent senior/critical-care input and consideration of ventilatory support, alongside maximal medical therapy.",Hyperventilation would produce a LOW PaCO₂; a normal/high value indicates the opposite problem.,,"It is not reassuring — a 'normalising' CO₂ in a severe attack is an ominous sign, not an expected one.",A normal PaCO₂ does not indicate a primary metabolic acidosis; it reflects failing ventilation.
273,Acute Medicine,2,"A patient presents with massive haematemesis. After initial resuscitation, what is the target for red cell transfusion in non-variceal upper GI bleeding?",Hb >100 g/L,Hb >70 g/L (restrictive transfusion strategy),Hb >90 g/L,Transfuse to Hb >120 g/L,B,"For haemodynamically stable acute upper-GI bleeding, a RESTRICTIVE transfusion strategy (transfuse to keep Hb >70 g/L) improves outcomes: liberal transfusion raises portal pressure and is associated with more rebleeding and higher mortality (Villanueva trial; NICE/BSG). A higher threshold (~80 g/L) is used in acute coronary syndrome.",A target >100 g/L is over-transfusion and worsens outcomes in stable GI bleeding.,,A target >90 g/L is still higher than the evidence-based restrictive threshold.,Transfusing to >120 g/L is clearly excessive and potentially harmful.
274,Acute Medicine,1,A patient collapses with a witnessed cardiac arrest. The rhythm is ventricular fibrillation. What is the first intervention?,IV adrenaline 1mg,IV amiodarone 300mg,Defibrillation (shock),Intubation,C,"For a shockable arrest rhythm (VF or pulseless VT), immediate defibrillation is the single most important intervention and the strongest determinant of survival. High-quality CPR continues around the shocks; adrenaline 1 mg and amiodarone 300 mg are given after the third shock (adrenaline then every 3–5 minutes). Every minute of delay to defibrillation reduces survival.","Adrenaline is given only AFTER the third shock in a shockable rhythm, not first.","Amiodarone is also given after the third shock, not as the initial action.",,Intubation must not delay defibrillation; airway management is secondary to early shocks and compressions.
275,Acute Medicine,1,Trousseau sign (carpopedal spasm on BP cuff inflation) indicates which electrolyte abnormality?,Hyperkalaemia,Hypocalcaemia,Hypermagnesaemia,Hyponatraemia,B,"Trousseau's sign — carpopedal spasm induced by inflating a BP cuff above systolic pressure for ~3 minutes — reflects the neuromuscular irritability of hypocalcaemia. It is more sensitive than Chvostek's sign. Causes include hypoparathyroidism (e.g. post-thyroidectomy), vitamin-D deficiency, CKD, pancreatitis and hypomagnesaemia; severe cases need IV calcium.","Hyperkalaemia causes peaked T waves and weakness, not carpopedal spasm.",,"Hypermagnesaemia depresses neuromuscular transmission (hyporeflexia), the opposite of the hyperexcitability seen here.","Hyponatraemia causes neurological features (confusion, seizures) but not carpopedal spasm."
276,Acute Medicine,2,"A patient with acute pancreatitis develops respiratory failure, renal failure, and DIC within 48 hours. CT shows >50% pancreatic necrosis. What does the modified Atlanta classification call this?",Mild acute pancreatitis,Moderately severe acute pancreatitis,Severe acute pancreatitis,Chronic pancreatitis,C,"Under the revised Atlanta classification, SEVERE acute pancreatitis is defined by PERSISTENT organ failure lasting >48 hours. This patient has multi-organ failure (respiratory, renal, DIC) with extensive necrosis, placing them firmly in the severe category, which carries a mortality above 30% and warrants critical care.",Mild disease has no organ failure and no local/systemic complications.,Moderately severe disease has only TRANSIENT organ failure (<48 h) or local complications — not sustained multi-organ failure.,,"Chronic pancreatitis is a separate, long-standing fibro-inflammatory disease, not an acute severity grade."
277,Acute Medicine,1,The Glasgow Coma Scale (GCS) has three components. What is the maximum score?,12,14,15,16,C,"The Glasgow Coma Scale sums best eye-opening (max 4), verbal (max 5) and motor (max 6) responses, giving a maximum of 15 (E4V5M6) and a minimum of 3. A GCS ≤8 indicates the patient cannot protect their airway and usually needs intubation. The motor score carries the most prognostic weight.",12 is not the maximum — it undercounts the components.,14 is one below the true maximum.,,16 exceeds the sum of the three component maxima (4+5+6=15).
278,Acute Medicine,1,Corrected QT interval prolongation increases the risk of which arrhythmia?,Atrial fibrillation,Torsades de pointes,Ventricular fibrillation,Supraventricular tachycardia,B,"A prolonged QTc delays ventricular repolarisation and predisposes to torsades de pointes, a polymorphic VT that can degenerate into VF and cause sudden death. Precipitants include QT-prolonging drugs (antipsychotics, macrolides, methadone, ondansetron), hypokalaemia, hypomagnesaemia, hypothermia and congenital LQTS. Treatment is IV magnesium, correcting electrolytes, and pacing/isoprenaline to shorten the QT.","Atrial fibrillation is driven by atrial substrate/re-entry, not by QT prolongation.",,"VF can be the end result of torsades, but the specific arrhythmia caused by a long QT is torsades de pointes.",SVT is a supraventricular re-entrant/automatic rhythm unrelated to QT length.
279,Acute Medicine,2,"A patient presents with acute severe headache, neck stiffness, and photophobia. CSF shows turbid fluid with high WCC (predominantly neutrophils), low glucose, and high protein. What is the most likely diagnosis?",Viral meningitis,Bacterial meningitis,Subarachnoid haemorrhage,Tuberculous meningitis,B,"The CSF picture — turbid fluid, a high neutrophil count, LOW glucose (<60% of paired serum) and high protein — is classic bacterial meningitis. This demands immediate empirical IV ceftriaxone (plus amoxicillin if Listeria is a concern) with dexamethasone. Recognising the neutrophilic, low-glucose pattern differentiates it from viral and TB meningitis.","Viral meningitis gives CLEAR CSF with lymphocytes, NORMAL glucose and only mildly raised protein.",,"SAH gives uniformly blood-stained/xanthochromic CSF, not a neutrophilic low-glucose picture.","TB meningitis is lymphocytic with VERY low glucose and VERY high protein and a more subacute course, not an acute neutrophilic pattern."
280,Acute Medicine,1,Acute severe hyperkalaemia (K+ >6.5 mmol/L with ECG changes) is treated with which sequence?,Calcium gluconate → insulin/dextrose → salbutamol → calcium resonium,Insulin/dextrose → calcium gluconate → dialysis,Calcium resonium → insulin/dextrose → dialysis,Sodium bicarbonate → calcium gluconate → furosemide,A,"Severe hyperkalaemia with ECG changes is managed in a defined order: (1) IV calcium gluconate to stabilise the myocardium (it protects the heart but does NOT lower potassium); (2) insulin with dextrose to shift potassium intracellularly; (3) nebulised salbutamol as an additional shift; (4) a potassium binder (calcium resonium or sodium zirconium cyclosilicate) to remove potassium from the body; and (5) dialysis if refractory. Getting the sequence right — protect, shift, then remove — is essential.",,Giving insulin/dextrose before calcium delays myocardial protection; calcium must come first when there are ECG changes.,Calcium resonium works too slowly to be the first step in an emergency with ECG changes and does not protect the heart.,Sodium bicarbonate is not the primary agent and furosemide is unreliable; neither provides the immediate cardioprotection that calcium does.
281,Statistics,1,Sensitivity of a test refers to:,The proportion of those without disease who test negative (true negatives),The proportion of those with disease who test positive (true positives),The proportion of positive test results that are true positives,The overall accuracy of the test,B,"SENSITIVITY is the proportion of people WITH the disease who test positive: TP/(TP+FN). A highly sensitive test has few false negatives, so a negative result is good for ruling disease OUT (the 'SnNout' rule). It is a property of the test itself, independent of prevalence.","That describes SPECIFICITY (true negatives among the non-diseased), not sensitivity.",,"That describes POSITIVE PREDICTIVE VALUE (true positives among positive results), not sensitivity.",Overall accuracy combines several measures and is not the definition of sensitivity.
282,Statistics,1,"In a randomised controlled trial, which method helps minimise the effect of confounders?",Case-control design,Randomisation,Cross-sectional design,Retrospective analysis,B,"RANDOMISATION is the design feature that minimises confounding: allocating participants by chance distributes both KNOWN and UNKNOWN confounders evenly across groups, so differences in outcome can be attributed to the intervention. Blinding and intention-to-treat analysis further protect against bias.","A case-control design is observational and susceptible to confounding, which it must adjust for rather than prevent.",,A cross-sectional design measures a snapshot and cannot control confounding by allocation.,Retrospective analysis is prone to confounding and recall/selection biases.
283,Statistics,2,The positive predictive value (PPV) of a screening test is influenced most by which factor?,Sensitivity of the test,Specificity of the test,Prevalence of the disease in the population being tested,Sample size,C,"The positive predictive value depends heavily on DISEASE PREVALENCE in the tested population: as prevalence falls, false positives outnumber true positives and PPV drops, even with excellent sensitivity and specificity. This is why screening is targeted at higher-risk (higher-prevalence) groups.",Sensitivity influences PPV but is a fixed test property; prevalence is the dominant driver of PPV.,"Specificity also matters but, again, PPV is most sensitive to changes in prevalence.",,"Sample size affects precision (confidence intervals), not the underlying PPV."
284,Statistics,1,Number needed to treat (NNT) is calculated as:,1 / absolute risk reduction,Relative risk × baseline risk,Odds ratio / relative risk,Absolute risk reduction × 100,A,The number needed to treat is 1 ÷ ABSOLUTE RISK REDUCTION (ARR = control event rate − treatment event rate). It is the number of patients who must be treated to prevent one additional adverse outcome; a lower NNT means a more effective treatment.,,'Relative risk × baseline risk' is not the NNT formula.,'Odds ratio / relative risk' does not define NNT.,"'ARR × 100' gives a percentage, not the reciprocal that defines NNT."
285,Statistics,1,A type I error (alpha error) in hypothesis testing means:,Failing to reject a false null hypothesis,Rejecting a true null hypothesis (false positive),Correctly rejecting a false null hypothesis,Correctly accepting a true null hypothesis,B,"A TYPE I (alpha) error is REJECTING a TRUE null hypothesis — a false positive, concluding there is an effect when there is none. It is conventionally capped at α = 0.05. (A type II/beta error is failing to reject a false null — a false negative.)","Failing to reject a FALSE null hypothesis is a type II error, not type I.",,"Correctly rejecting a false null is a correct decision (statistical power), not an error.","Correctly accepting a true null is also a correct decision, not an error."
286,Statistics,2,An odds ratio of 1.0 in a case-control study indicates:,The exposure doubles disease risk,No association between exposure and disease,A protective effect of the exposure,The study is invalid,B,"An odds ratio of 1.0 means NO ASSOCIATION between exposure and outcome. An OR >1 suggests increased odds (positive association) and <1 suggests a protective effect; if the confidence interval crosses 1.0, the result is not statistically significant.","Doubling of risk would be an OR of about 2.0, not 1.0.",,A protective effect corresponds to an OR <1.0.,"An OR of 1.0 is a valid result (no association), not evidence that the study is invalid."
287,Statistics,1,Which study design is most appropriate for studying the aetiology of a rare disease?,Randomised controlled trial,Cohort study,Case-control study,Cross-sectional study,C,"For a RARE disease, the CASE-CONTROL design is most efficient: it starts by selecting people who already have the disease (cases) and suitable controls, then looks back at exposures. This avoids having to follow enormous cohorts for long periods to accrue enough cases, making it quicker and cheaper.","An RCT is for testing interventions, not efficiently studying the aetiology of a rare disease.",A cohort study would need to follow huge numbers for a long time to capture enough rare cases.,,A cross-sectional study gives only a snapshot and is poorly suited to rare-disease aetiology.
288,Statistics,1,Lead-time bias in cancer screening refers to:,Detecting cancer earlier without actually improving survival,Detecting only slow-growing cancers,Over-diagnosing cancers that would never cause symptoms,Under-estimating the benefits of screening,A,"LEAD-TIME BIAS occurs when screening detects disease EARLIER, so the measured survival time from diagnosis appears longer even though the date of death is unchanged — an illusion of benefit. Only trials measuring MORTALITY reduction (not survival from diagnosis) can overcome it.",,"Preferential detection of slow-growing tumours is LENGTH-time bias, a different phenomenon.","Detecting cancers that would never have caused harm is OVER-diagnosis, not lead-time bias.","Lead-time bias tends to OVER-state, not under-state, screening benefit."
289,Statistics,1,The incidence of a disease refers to:,The total number of existing cases at a point in time,The number of new cases occurring in a population over a specified time period,The proportion of the population affected at any time,The mortality rate from the disease,B,"INCIDENCE is the number of NEW cases arising in a defined population over a specified time period — a measure of risk. Prevalence, by contrast, counts all EXISTING cases at a point (or over a period) and reflects disease burden; roughly, prevalence ≈ incidence × duration.","The total existing cases at a point in time is POINT PREVALENCE, not incidence.",,"The proportion affected at any time is prevalence, not incidence.","Mortality rate measures deaths, not new-case occurrence."
290,Statistics,2,Intention-to-treat analysis in an RCT means:,Analysing only patients who completed the study,"Analysing all patients according to the group they were randomised to, regardless of compliance",Analysing only patients who received the intervention,Excluding crossover patients,B,"INTENTION-TO-TREAT analysis includes ALL randomised participants analysed in their ORIGINALLY ASSIGNED groups, regardless of compliance, crossover or completion. This preserves the balance created by randomisation, avoids attrition bias and reflects real-world effectiveness. (Per-protocol analysis, by contrast, includes only fully compliant patients.)","Analysing only completers is a per-protocol/completer analysis, which can reintroduce bias.",,Analysing only those who actually received the intervention breaks randomisation.,Excluding crossover patients also violates the intention-to-treat principle.
291,Genetics,1,Huntington disease is inherited in which pattern?,Autosomal recessive,Autosomal dominant,X-linked recessive,Mitochondrial,B,"Huntington's disease is autosomal dominant, caused by an expanded CAG trinucleotide repeat in the HTT gene on chromosome 4 (≥36 repeats). It shows anticipation — earlier onset in successive generations as the repeat expands, especially through the paternal line — and presents in mid-adult life with chorea, psychiatric disturbance and progressive dementia.",Autosomal recessive inheritance would require two mutant alleles; a single expanded HTT allele is sufficient to cause disease.,,"HTT is on an autosome (chromosome 4), not the X chromosome, and both sexes are equally affected.",Mitochondrial inheritance is maternal and affects energy-dependent tissues; Huntington's is nuclear autosomal dominant.
292,Genetics,1,A couple is concerned about cystic fibrosis. Both are carriers (heterozygous). What is the probability their child will be affected?,25% (1 in 4),50% (1 in 2),75% (3 in 4),100%,A,"Cystic fibrosis is autosomal recessive (CFTR gene). When both parents are carriers (Cc × Cc), each child has a 1-in-4 (25%) chance of being affected (cc), a 1-in-2 chance of being an unaffected carrier (Cc) and a 1-in-4 chance of being genotypically normal (CC). ΔF508 is the commonest UK mutation.",,"50% is the chance of being a CARRIER, not of being affected.","75% is the chance of NOT being affected (carrier or normal), not the affected risk.","100% affected would occur only if both parents were affected (cc × cc), not carriers."
293,Genetics,2,"A boy presents with intellectual disability, macro-orchidism, long face, and prominent ears. Genetic testing reveals a CGG trinucleotide repeat expansion on the X chromosome. What is the diagnosis?",Down syndrome,Fragile X syndrome,Klinefelter syndrome,Angelman syndrome,B,"A boy with intellectual disability, a long face, large ears and post-pubertal macro-orchidism, with a CGG repeat expansion in FMR1 on the X chromosome, has fragile X syndrome — the commonest inherited cause of intellectual disability. Associated features include autism-spectrum behaviour and joint hypermobility; premutation carriers may develop fragile-X tremor/ataxia syndrome (FXTAS) or premature ovarian insufficiency.","Down syndrome is caused by trisomy 21 with characteristic facies and a single palmar crease, not a CGG expansion.",,"Klinefelter syndrome (47,XXY) causes tall stature, small testes and gynaecomastia, not macro-orchidism or a CGG expansion.","Angelman syndrome (maternal 15q deletion) causes ataxia, seizures and a happy demeanour, unrelated to FMR1."
294,Genetics,1,"Turner syndrome (45,X) presents with which features?","Tall stature, delayed puberty, learning difficulties","Short stature, primary amenorrhoea, webbed neck, shield chest",Ambiguous genitalia and salt-wasting,Intellectual disability and obesity,B,"Turner syndrome (45,X or mosaic) presents with short stature, primary amenorrhoea from streak (dysgenetic) ovaries, a webbed neck and a shield chest with widely spaced nipples. Associated features include coarctation of the aorta, a bicuspid aortic valve, horseshoe kidney and neonatal lymphoedema. Intelligence is usually normal; treatment includes growth hormone and oestrogen replacement.","Turner girls are SHORT, not tall, and intelligence is typically normal.",,"Ambiguous genitalia and salt-wasting suggest congenital adrenal hyperplasia, not Turner syndrome.",Intellectual disability with obesity suggests other syndromes (e.g. Prader–Willi); Turner has normal intellect and short stature.
295,Genetics,1,Which condition is caused by a deletion on chromosome 15q11-13 of paternal origin (or maternal uniparental disomy)?,Angelman syndrome,Prader-Willi syndrome,DiGeorge syndrome,Williams syndrome,B,"Prader–Willi syndrome results from loss of PATERNALLY expressed genes at 15q11–13 (paternal deletion or maternal uniparental disomy). It causes neonatal hypotonia and poor feeding, followed by childhood hyperphagia with obesity, short stature, hypogonadism and intellectual disability. The same region deleted on the MATERNAL allele causes Angelman syndrome — a classic example of genomic imprinting.","Angelman syndrome arises from the MATERNAL 15q deletion (or paternal UPD) and causes ataxia, seizures and a happy affect — the imprinting counterpart, not Prader–Willi.",,"DiGeorge syndrome is a 22q11 deletion with cardiac, thymic and parathyroid defects.",Williams syndrome is a 7q11 deletion with supravalvular aortic stenosis and an over-friendly personality.
296,Genetics,2,A couple has a child with Down syndrome (trisomy 21). Karyotype shows a Robertsonian translocation t(14;21). Which parent should be karyotyped and why?,"Mother only, as Down syndrome is always maternal","Both parents, to identify if either carries a balanced translocation","Father only, as translocations are paternal","Neither, as this is a de novo event",B,"When a child has translocation Down syndrome (e.g. a Robertsonian t(14;21)), BOTH parents should be karyotyped to see whether either carries a balanced translocation. A balanced-carrier parent has a much higher recurrence risk (roughly 10–15% if the mother, ~3–5% if the father) than the age-related risk of trisomy 21, so identifying this is essential for genetic counselling.","Down syndrome is not 'always maternal'; a translocation can be inherited from either parent, so testing the mother alone is inadequate.",,Translocations are not exclusively paternal; the mother must also be tested.,It should not be assumed to be de novo — a parental balanced translocation must be excluded because it changes recurrence risk substantially.
297,Genetics,1,Haemochromatosis is most commonly caused by a mutation in which gene?,HFE gene (C282Y homozygosity),ATP7B gene,SERPINA1 gene,CFTR gene,A,"Hereditary haemochromatosis is most often autosomal-recessive C282Y homozygosity in the HFE gene, causing excessive intestinal iron absorption. Iron deposits in the liver (cirrhosis, hepatocellular carcinoma), pancreas (diabetes), heart (cardiomyopathy), joints, skin ('bronze' pigmentation) and pituitary (hypogonadism). Treatment is regular venesection to deplete iron stores.",,"ATP7B mutations cause Wilson's disease (copper overload), not iron overload.",SERPINA1 mutations cause alpha-1 antitrypsin deficiency.,CFTR mutations cause cystic fibrosis.
298,Genetics,1,"Klinefelter syndrome (47,XXY) presents with which features in adulthood?","Short stature, webbed neck, primary amenorrhoea","Tall stature, small testes, gynaecomastia, infertility","Ambiguous genitalia, salt-wasting crisis",Normal male phenotype with increased cancer risk,B,"Klinefelter syndrome (47,XXY) is the commonest sex-chromosome aneuploidy in males. Adults are typically tall with long limbs, have small firm testes, gynaecomastia, sparse body hair and are infertile (azoospermia) due to primary hypogonadism (low testosterone, high LH/FSH). Learning/behavioural difficulties may occur; testosterone replacement is often needed.","Short stature, webbed neck and primary amenorrhoea describe TURNER syndrome in females (45,X).",,Ambiguous genitalia with salt-wasting suggests congenital adrenal hyperplasia.,"Klinefelter is not a normal male phenotype — it features hypogonadism, gynaecomastia and infertility."
299,Metabolic Medicine,1,"A patient presents with recurrent kidney stones, chondrocalcinosis, and arthritis. Serum uric acid is markedly elevated. 24-hour urine uric acid is elevated. Urinalysis shows orange-red crystals. Which enzyme deficiency causes this X-linked condition?",Xanthine oxidase,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT),Adenosine deaminase,Glucose-6-phosphatase,B,"Lesch–Nyhan syndrome is an X-linked recessive deficiency of hypoxanthine–guanine phosphoribosyltransferase (HGPRT), the purine-salvage enzyme. Loss of salvage massively increases uric-acid production, causing hyperuricaemia, gouty arthritis, orange-red urinary urate crystals and renal stones, plus a neurological syndrome with dystonia and compulsive self-mutilation. Partial deficiency (Kelley–Seegmiller) gives gout/stones without the neurological features.","Xanthine oxidase deficiency lowers uric acid (xanthinuria), the opposite of the marked hyperuricaemia here (and it is the enzyme allopurinol inhibits).",,"Adenosine deaminase deficiency causes a form of SCID, not hyperuricaemic gout with self-mutilation.","Glucose-6-phosphatase deficiency causes von Gierke glycogen storage disease (hypoglycaemia, hepatomegaly), not the HGPRT phenotype."
300,Metabolic Medicine,2,"A patient with acute intermittent porphyria presents with severe abdominal pain, vomiting, confusion, and seizures. Urine turns dark red/purple on standing. What is the immediate treatment?",Chlorpromazine for pain,IV haem arginate (human hemin),Phenytoin for seizures,IV morphine only,B,"An acute porphyria attack (severe abdominal pain, vomiting, neuropsychiatric features, seizures, urine darkening on standing) is treated specifically with IV haem arginate (human hemin), which replenishes the haem pool and switches off the rate-limiting enzyme ALA synthase, cutting production of the toxic porphyrin precursors. High-dose IV glucose is a temporising measure. Many common drugs are porphyrinogenic and must be avoided.",Chlorpromazine is an enzyme inducer that can WORSEN porphyria and is unsafe.,,"Phenytoin is porphyrinogenic and can precipitate/worsen attacks, so it is contraindicated.",Opioids treat pain symptomatically but do not address the underlying overproduction of precursors; haem arginate is the specific therapy.
301,Metabolic Medicine,1,Phenylketonuria (PKU) is caused by deficiency of which enzyme?,Homogentisic acid oxidase,Phenylalanine hydroxylase,Tyrosinase,Cystathionine beta-synthase,B,"Phenylketonuria is an autosomal-recessive deficiency of phenylalanine hydroxylase, which normally converts phenylalanine to tyrosine. Accumulating phenylalanine is neurotoxic, causing severe intellectual disability if untreated. It is detected on newborn blood-spot (Guthrie) screening and managed with a lifelong phenylalanine-restricted diet.","Homogentisic-acid-oxidase deficiency causes alkaptonuria, not PKU.",,Tyrosinase deficiency causes oculocutaneous albinism.,Cystathionine-beta-synthase deficiency causes homocystinuria.
